,0
0,I
1,'m
2,not
3,very
4,familiar
5,with
6,Python
7,","
8,and
9,I
10,am
11,just
12,discovering
13,GDB
14,python
15,scripting
16,capabilities
17,;
18,the
19,motivation
20,of
21,my
22,question
23,is
24,to
25,enhance
26,the
27,GDB
28,printing
29,of
30,values
31,inside
32,the
33,MELT
34,monitor
35,which
36,will
37,later
38,be
39,connected
40,to
41,GCC
42,MELT
43,.
44,But
45,here
46,is
47,a
48,simpler
49,variant
50,.
51,My
52,system
53,is
54,Linux
55,/Debian/Sid/x86-64.
56,the
57,GCC
58,compiler
59,is
60,4
61,.8.2;
62,the
63,GDB
64,debugger
65,is
66,7
67,.6.2;
68,its
69,python
70,is
71,3
72,.3
73,I
74,want
75,to
76,debug
77,a
78,C
79,program
80,with
81,a
82,"""discriminated"
83,union
84,""""
85,"type:
Here is my Python file to be read under gdb
I'm stuck with the following basic questions.
How to install my pretty printer in python under GDB? (I'm seeing several ways in the documentation, and I can't choose the appropriate one)"
86,.
87,How
88,to
89,ensure
90,that
91,GDB
92,pretty
93,-prints
94,both
95,union
96,my_un
97,and
98,its
99,typedef
100,-ed
101,synonym
102,myval_t
103,the
104,same
105,way
106,.
107,How
108,should
109,the
110,pretty
111,printer
112,detect
113,NULL
114,pointers
115,?
116,How
117,can
118,my
119,pretty
120,printer
121,recurse
122,for
123,struct
124,boxsequence_st
125,?
126,This
127,means
128,detecting
129,that
130,the
131,pointer
132,is
133,non
134,"-nil,"
135,then
136,dereferencing
137,its
138,ptag
139,","
140,comparing
141,that
142,tag
143,to
144,tag_sequence
145,","
146,pretty
147,printing
148,the
149,valtab
150,flexible
151,array
152,member
153,.
154,How
155,to
156,avoid
157,recursing
158,too
159,deeply
160,the
161,pretty
162,printing
163,?
